,BNF_CODE,TOTAL_QUANTITY,POSTCODE,YEAR_MONTH,UNIDENTIFIED,PRACTICE_NAME,ICB_NAME,BNF_CHAPTER_PLUS_CODE,ICB_CODE,ACTUAL_COST,QUANTITY,REGIONAL_OFFICE_CODE,ITEMS,ADDRESS_4,ADDRESS_1,ADDRESS_2,ADDRESS_3,BNF_CHEMICAL_SUBSTANCE,ADQUSAGE,PCO_CODE,REGIONAL_OFFICE_NAME,NIC,CHEMICAL_SUBSTANCE_BNF_DESCR,PRACTICE_CODE,PCO_NAME,BNF_DESCRIPTION
0,0601022B0AAABAB,336.0,E2 9LS,202411,False,THE MISSION PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,6.15629,336.0,Y56,1,LONDON,MISSION MEDICAL PRACTICE,208 CAMBRIDGE HEATH ROAD,BETHNAL GREEN,0601022B0,112.0,A3A8R,LONDON,7.68,Metformin hydrochloride,F84016,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg tablets
1,0601022B0AAABAB,240.0,E3 5TW,202411,False,THE GROVE ROAD SURGERY,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,4.50432,240.0,Y56,1,LONDON,3 IVANHOE HOUSE,130 GROVE ROAD,BOW,0601022B0,80.0,A3A8R,LONDON,5.49,Metformin hydrochloride,F84055,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg tablets
2,0601022B0AAABAB,270.0,E3 5TW,202411,False,THE GROVE ROAD SURGERY,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,5.04831,270.0,Y56,1,LONDON,3 IVANHOE HOUSE,130 GROVE ROAD,BOW,0601022B0,90.0,A3A8R,LONDON,6.17,Metformin hydrochloride,F84055,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg tablets
3,0601022B0AAASAS,84.0,E14 6PG,202411,False,THE CHRISP STREET HTH CTR,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,4.1696,21.0,Y56,4,LONDON,THE CHRISP STREET HTH CTR,100 CHRISP STREET,,0601022B0,28.0,A3A8R,LONDON,3.72,Metformin hydrochloride,F84062,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg modified-release tablets
4,0601022B0AAABAB,120.0,E14 6PG,202411,False,THE CHRISP STREET HTH CTR,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,2.30436,120.0,Y56,1,LONDON,THE CHRISP STREET HTH CTR,100 CHRISP STREET,,0601022B0,40.0,A3A8R,LONDON,2.74,Metformin hydrochloride,F84062,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg tablets
5,0601022B0AAASAS,1120.0,E14 9WU,202411,False,DOCKLANDS MEDICAL CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,49.862,224.0,Y56,5,LONDON,DOCKLANDS MEDICAL CENTRE,100 SPINDRIFT AVENUE,ISLE OF DOGS,0601022B0,373.33333,A3A8R,LONDON,49.8,Metformin hydrochloride,F84656,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg modified-release tablets
6,0601022B0AAASAS,476.0,E1 2QA,202411,False,CITY SQUARE MEDICAL GROUP,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,24.9016,14.0,Y56,34,LONDON,14 DEANCROSS STREET,,,0601022B0,158.66667,A3A8R,LONDON,21.08,Metformin hydrochloride,F84114,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg modified-release tablets
7,0601022B0AAADAD,224.0,E1 5PB,202411,False,THE SPITALFIELDS PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,2.60435,224.0,Y56,1,LONDON,THE SPITALFIELDS PRACTICE,20 OLD MONTAGUE STREET,,0601022B0,126.93333,A3A8R,LONDON,3.24,Metformin hydrochloride,F84081,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 850mg tablets
8,0601022B0AAASAS,560.0,E1 8ZF,202411,False,GOODMAN'S FIELD HEALTH CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,25.024,56.0,Y56,10,LONDON,11 STABLE WALK,,,0601022B0,186.66667,A3A8R,LONDON,24.9,Metformin hydrochloride,F84039,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg modified-release tablets
9,0601022B0AAABAB,504.0,E3 2AT,202411,False,HARLEY GROVE MEDICAL CTR.,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,9.29023,84.0,Y56,6,LONDON,HARLEY GROVE MEDICAL CTR,15 HARLEY GROVE,,0601022B0,168.0,A3A8R,LONDON,11.52,Metformin hydrochloride,F84044,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg tablets
10,0601022B0AAAVAV,224.0,E3 2LR,202411,False,RUSTON STREET CLINIC,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,18.2784,14.0,Y56,16,LONDON,RUSTON STREET CLINIC,RUSTON STREET,BOW,0601022B0,149.33333,A3A8R,LONDON,16.48,Metformin hydrochloride,F84030,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 1g modified-release tablets
11,0601022B0AAASAS,672.0,E3 5ED,202411,False,ST.STEPHENS HEALTH CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,30.0288,56.0,Y56,12,LONDON,ST.STEPHENS HEALTH CENTRE,BOW COMMUNITY HALL,WILLIAM PLACE,0601022B0,224.0,A3A8R,LONDON,29.88,Metformin hydrochloride,F84034,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg modified-release tablets
12,0601022B0AAASAS,336.0,E3 5ED,202411,False,ST.STEPHENS HEALTH CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,17.5776,14.0,Y56,24,LONDON,ST.STEPHENS HEALTH CENTRE,BOW COMMUNITY HALL,WILLIAM PLACE,0601022B0,112.0,A3A8R,LONDON,14.88,Metformin hydrochloride,F84034,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg modified-release tablets
13,0601022B0AAASAS,196.0,E3 5JD,202411,False,TREDEGAR PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,9.5368,28.0,Y56,7,LONDON,35 ST.STEPHENS ROAD,BOW,,0601022B0,65.33333,A3A8R,LONDON,8.75,Metformin hydrochloride,F84696,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg modified-release tablets
